会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ＩＮＰＥＸ,1605,鉱業,プライム（内国株式）,JP,2024-12-31,東京都,4047412133888.0,0.85259694,12.939643,10.504189,5.480411541463308,0.3025,0.025012506,330.63,268.4,345.0699999523428,,,0.56147,,0.19580999,0.08457,0.653284717518805,2243031000000.0,533663000000.0,870206000000.0,1063911000000.0,241675000000.0,123557000000.0,-1286335100000.0,-0.3178166832158821
アズパートナーズ,160A,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,8592959488.0,1.6944522,7.9840317,7.6045628,,0.1743,0.022421524,315.6,300.6,,17917807000.0,1305131000.0,0.112270005,956657000.0,0.05466,,0.1944621081790375,17244666000.0,8934178000.0,16352654000.0,9309737000.0,6855982000.0,,-892012000.0,-0.1038073089074477
石油資源開発,1662,鉱業,プライム（内国株式）,JP,2025-03-31,東京都,572322086912.0,1.0140967,14.829553,6.591981,6.461005908002028,0.14739999,0.01268499,339.2,150.78,198.8851372637681,389082000000.0,62013000000.0,0.07131,81153000000.0,0.12412,0.084139995,0.7742716381210039,124344000000.0,49152000000.0,230838000000.0,0.0,118358000000.0,180280000000.0,232690000000.0,0.4065717632102818
Ｋ＆Ｏエナジーグループ,1663,鉱業,プライム（内国株式）,JP,2024-12-31,千葉県,121966592000.0,1.1568949,30.446367,15.360827,8.987659744623015,0.1547,0.0,297.51,150.1,241.569995691055,92421000000.0,8821000000.0,0.09554,6167000000.0,0.09172,0.088690005,0.8074376083116361,20042000000.0,13728000000.0,49178000000.0,913000000.0,28498000000.0,15837000000.0,40221900000.0,0.3297780100308123
タスキホールディングス,166A,不動産業,グロース（内国株式）,JP,2025-09-30,東京都,51947380736.0,1.7707703,,9.26781,11.21300841891508,0.39560002,0.041474655,90.96,,53.38576124000577,74412166000.0,8815405000.0,-0.01381,4933967000.0,0.052789997,,0.3834985579116227,50243159000.0,19745037000.0,75577167000.0,47005881000.0,26203066000.0,1137862000.0,26130511400.0,0.5030188438719745
リョーサン菱洋ホールディングス,167A,卸売業,プライム（内国株式）,JP,2025-03-31,東京都,129327308800.0,0.96173084,,17.512897,,0.7605,0.041791044,184.15,,,359811000000.0,8542000000.0,0.032780003,9387000000.0,0.0,,0.5702683707733556,99054000000.0,87242000000.0,190415000000.0,38396000000.0,30037000000.0,7986000000.0,96951200000.0,0.7496576005453846
イタミアート,168A,その他製品,グロース（内国株式）,JP,2025-01-31,岡山県,1927170048.0,1.2197279,,4.3290186,,0.066,0.01493652,302.84,,,3605561000.0,271569000.0,0.06431,165042000.0,0.11377,,0.330397790634227,2440840000.0,768663000.0,1165488000.0,2049719000.0,625764000.0,,-1275352000.0,-0.6617745026307092
ＳＤＳホールディングス,1711,建設業,スタンダード（内国株式）,JP,2025-03-31,東京都,2721888256.0,4.4915743,,,-45.59909825410381,0.0,0.0,-13.75,,-11.820409188716608,4035492000.0,-14691000.0,0.0463,-151714000.0,-0.03135,-0.16089001,0.1291914759763701,3966883000.0,2289630000.0,2596916000.0,3515521000.0,499637000.0,21930000.0,-1354616000.0,-0.4976750963284218
第一カッター興業,1716,建設業,スタンダード（内国株式）,JP,2025-06-30,神奈川県,16479364096.0,0.85232896,6.132273,12.453247,8.779576300666097,0.3398,0.02749141,117.64,238.9,174.39151568714095,20228578000.0,1647409000.0,0.1379,1327762000.0,0.08108,0.08758,0.8643659488136177,2889484000.0,2204477000.0,14403164000.0,331475000.0,9929000000.0,1314110000.0,12433557000.0,0.7544925233503379
明豊ファシリティワークス,1717,サービス業,スタンダード（内国株式）,JP,2025-03-31,東京都,12699348992.0,2.1511588,13.202933,13.122722,12.451345101179292,0.5162,0.0,82.3,81.8,67.85000211936068,5716853000.0,1226695000.0,0.15328,910529000.0,0.15847999,0.17406,0.6972469510254472,2430460000.0,1605283000.0,6324955000.0,,829338000.0,612580000.0,4323301000.0,0.3404348524261739
美樹工業,1718,建設業,スタンダード（内国株式）,JP,2024-12-31,兵庫県,10481496064.0,0.6236576,,10.752688,5.542101119155466,0.2802,0.025252525,891.87,,767.9797065945335,27292198000.0,1134579000.0,0.08741,658231000.0,0.03909,0.07954,0.4832416805090492,14683711000.0,9076830000.0,15506712000.0,7254692000.0,2572905000.0,770584000.0,1362409800.0,0.1299823795840906
安藤・間,1719,建設業,プライム（内国株式）,JP,2025-03-31,東京都,326935052288.0,1.7429073,21.678795,12.360716,12.258181207578218,0.4148,0.037593983,168.72,96.2,88.64000026979058,425160000000.0,35244000000.0,0.07779,26444000000.0,0.0,,0.4602633517396377,199792000000.0,186473000000.0,287813000000.0,27898000000.0,57294000000.0,28048000000.0,107654600000.0,0.3292843616693817
東急建設,1720,建設業,プライム（内国株式）,JP,2025-03-31,東京都,165598380032.0,1.5816427,26.180904,24.936184,11.200196281725043,0.6059,0.02318487,62.68,59.7,68.98999969730234,293138000000.0,8840000000.0,0.057919998,6631000000.0,0.03509,0.11707,0.3704974208482948,171650000000.0,147299000000.0,216723000000.0,27205000000.0,39666000000.0,27902000000.0,64604400000.0,0.3901270047902397
